[mop.temporal.runs.codelife ] exit 0: code lifecycle: active runtime+substrate 7038/8000, new E2 4512/2500, frozen 22817 | CODELIFE_DONE
[mop.temporal.runs.e2 scout har_stream] exit 0: E2 scout har_stream: 76 cells, best gru|medium|linear|none|h1 0.9349, median sd 0.04851, dominated 8 | E2_SCOUT_DONE
[mop.temporal.runs.e2 converge har_stream] exit 0: E2 convergence har_stream: all converged False, unconverged ['lstm|small|linear|none|h1', 'mgu|small|linear|none|h1', 'pooled|small|linear|none|h1', 'histmlp|small|linear|none|h20', 'pooled|large|mlp_strong|none|h1'] | E2_CONVERGE_DONE
[mop.temporal.runs.e2 scout speech_stream] exit 0: E2 scout speech_stream: 76 cells, best gru|medium|linear|none|h1 0.7662, median sd 0.02735, dominated 21 | E2_SCOUT_DONE
[mop.temporal.runs.e2 converge speech_stream] exit 0: E2 convergence speech_stream: all converged False, unconverged ['gru|small|linear|none|h1', 'lstm|small|linear|none|h1', 'mgu|small|linear|none|h1', 'tcn|small|linear|none|h1', 'histmlp|small|linear|none|h20', 'gru|large|linear|none|h1', 'pooled|large|mlp_strong|none|h1'] | E2_CONVERGE_DONE
[mop.temporal.runs.e2 scout harth_stream] exit 0: E2 scout harth_stream: 76 cells, best gru|small|linear|true_boundary|h1 0.9882, median sd 0.02065, dominated 2 | E2_SCOUT_DONE
[mop.temporal.runs.e2 converge harth_stream] exit 0: E2 convergence harth_stream: all converged False, unconverged ['mgu|small|linear|none|h1', 'pooled|large|mlp_strong|none|h1'] | E2_CONVERGE_DONE
[supervisor] workers=19 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
[supervisor] workers=20 remaining={'scout': 0, 'converge': 0, 'principal': 24}
